,model,precision,recall,f1 score
0,MLPMixer,0.7339837412143073,0.24848873736016994,0.34833429635983754
1,ResNet,0.8025776047495606,0.28305310529038125,0.39572550454448574
2,ECAResNet,0.803956868011334,0.30868640464471947,0.42266314538853295
3,DeiT,0.7829436139978327,0.298739674897267,0.40880460976383426
