,model,precision,recall,f1 score
0,MLPMixer,0.761082125032312,0.7570800000000001,0.75468475296572
1,ResNet,0.761834612586583,0.7489199999999999,0.7465066583060996
2,ECAResNet,0.7997948349346726,0.7941999999999999,0.792135116334365
3,DeiT,0.7765050577063494,0.76998,0.7663533609418886
